tag,application_count,movie_count,user_count
sci-fi,3576,353,886
based on a book,3307,1207,604
atmospheric,3169,454,724
comedy,3078,791,853
action,3068,538,799
nudity (topless),2646,1392,390
surreal,2528,303,811
twist ending,2367,199,818
bd-r,2334,2328,5
funny,2253,722,738
quirky,2034,356,589
dystopia,2015,140,576
classic,1971,412,668
stylized,1944,339,523
dark comedy,1910,189,713
romance,1874,521,663
fantasy,1850,283,629
psychology,1763,176,651
time travel,1572,137,585
disturbing,1524,285,526
visually appealing,1511,203,569
aliens,1439,240,413
social commentary,1424,242,509
thought-provoking,1422,148,607
adventure,1374,237,485
violence,1361,284,543
criterion,1352,905,71
animation,1345,239,496
drugs,1336,337,510
dark,1312,231,525
true story,1292,324,413
imdb top 250,1272,322,271
black comedy,1224,177,495
drama,1211,477,391
space,1208,146,437
clv,1199,1198,2
superhero,1177,136,381
world war ii,1157,247,388
post-apocalyptic,1118,107,438
horror,1103,281,404
betamax,1093,1080,12
cult film,1090,171,422
thriller,1088,289,430
satire,1081,183,488
predictable,1073,386,443
revenge,1051,283,382
tense,1049,306,322
boring,1038,598,422
politics,1027,290,376
bittersweet,1022,166,399
music,1000,352,502
cinematography,998,305,393
adapted from:book,991,595,155
based on a true story,985,213,390
great soundtrack,968,205,430
high school,966,217,300
coming of age,950,241,352
serial killer,943,209,344
crime,927,295,369
zombies,916,137,365
comic book,910,137,345
war,909,250,391
religion,904,338,334
nudity (full frontal),896,403,223
violent,888,158,369
mental illness,872,163,351
anime,870,130,259
dvd-video,858,855,4
dreamlike,848,114,374
friendship,845,230,345
franchise,844,279,143
suspense,842,186,366
alternate reality,836,83,410
quentin tarantino,830,15,443
parody,827,165,315
murder,824,448,218
nonlinear,812,61,446
psychological,802,133,362
pixar,802,61,334
history,800,329,295
oscar (best picture),794,88,257
less than 300 ratings,781,720,32
johnny depp,781,48,366
black and white,777,192,305
disney,768,136,250
r,756,527,56
erlend's dvds,746,735,5
remake,733,249,256
martial arts,730,171,287
magic,730,124,308
bruce willis,717,55,335
mystery,715,150,316
brad pitt,706,38,365
musical,690,173,336
multiple storylines,688,79,352
british,682,121,303
stupid,660,206,302
witty,658,179,316
humorous,653,219,270
inspirational,649,106,328
tom hanks,648,39,314
tumey's dvds,645,640,5
seen more than once,645,335,156
family,641,238,269
hilarious,628,191,299
japan,621,180,243
police,612,231,174
slow,610,311,282
robots,607,91,283
overrated,598,255,289
documentary,597,276,287
mindfuck,591,68,327
morgan freeman,583,52,323
new york city,576,220,204
great acting,575,126,271
dvd-ram,570,567,4
organized crime,570,86,280
nudity (topless - notable),565,243,206
sequel,565,217,181
biography,565,201,184
nazis,562,126,206
ensemble cast,560,116,202
vampires,556,117,228
beautiful,539,159,281
gay,537,183,191
espionage,537,107,225
future,534,89,248
christianity,528,182,221
soundtrack,527,286,262
nudity (topless - brief),527,285,142
england,527,181,190
artificial intelligence,523,42,258
corruption,517,188,192
philosophy,516,55,323
jim carrey,514,27,264
70mm,509,390,29
dvd,507,392,33
historical,502,149,260
edward norton,500,24,303
steven spielberg,496,38,246
dialogue,487,246,196
sexuality,484,157,219
bill murray,482,36,267
sports,480,205,152
christmas,480,132,191
christian bale,480,30,280
satirical,479,121,211
emotional,479,115,267
movie to see,477,404,64
acting,475,324,177
assassin,475,124,177
father-son relationship,474,135,206
original,474,103,223
fairy tale,471,62,241
leonardo dicaprio,467,24,293
relationships,463,117,205
racism,459,140,233
prison,458,120,239
lesbian,456,127,159
tim burton,454,22,218
story,453,277,148
chick flick,453,130,191
road trip,452,109,207
military,451,157,187
coen brothers,451,20,250
clint eastwood,450,60,204
mafia,445,70,252
rape,443,148,190
loneliness,438,77,223
depressing,432,124,263
bad acting,431,244,213
samuel l. jackson,431,60,241
tom cruise,431,31,233
silly,429,208,182
weird,429,120,211
robert de niro,429,50,231
matt damon,427,36,231
gore,420,152,196
nudity (full frontal - notable),419,149,155
oscar (best cinematography),416,108,153
heist,415,89,199
bd-video,412,412,1
love,412,199,210
stanley kubrick,412,16,235
ghosts,411,107,179
natalie portman,408,28,237
robert downey jr.,404,30,203
whimsical,400,79,191
harrison ford,399,35,192
philosophical,398,57,279
musicians,395,207,81
small town,395,158,126
suicide,393,132,190
conspiracy,390,89,222
great ending,389,43,193
creepy,388,128,173
survival,388,96,198
robin williams,386,46,206
studio ghibli,383,23,154
based on a tv show,381,153,98
touching,380,112,237
gothic,380,91,154
talking animals,379,110,129
jack nicholson,375,41,213
cyberpunk,373,29,218
teen,371,114,147
science fiction,371,102,178
complicated,371,27,238
oscar (best directing),370,90,120
scarlett johansson,370,28,213
might like,369,368,3
bechdel test:fail,369,261,55
kevin spacey,369,27,251
martin scorsese,368,34,201
arnold schwarzenegger,367,33,178
clever,366,95,230
heartwarming,365,91,205
al pacino,365,39,207
james bond,365,31,138
to see,361,334,31
nicolas cage,361,49,190
campy,360,148,133
stephen king,359,39,192
reviewed,358,357,2
marvel,355,38,150
library,352,340,17
narrated,351,84,161
long,350,198,162
reflective,350,103,181
national film registry,349,292,23
french,349,192,152
surrealism,349,39,246
directorial debut,348,218,85
children,338,143,181
dvd-r,337,333,7
george clooney,336,29,207
death,335,148,167
controversial,335,99,151
based on a play,334,208,81
easily confused with other movie(s) (title),333,224,77
adultery,332,160,102
love story,332,102,213
in netflix queue,329,304,24
western,329,93,171
paris,327,94,161
apocalypse,327,44,194
noir thriller,327,32,111
france,326,194,120
keanu reeves,324,41,189
gritty,323,118,137
vhs,322,306,23
woody allen,321,53,150
futuristic,321,38,193
cult classic,319,65,150
rock and roll,318,128,127
memory,317,44,180
too long,316,123,218
alfred hitchcock,315,37,127
virtual reality,315,24,184
queer,311,137,80
post apocalyptic,311,39,182
netflix,310,299,21
can't remember,310,273,29
supernatural,310,83,124
cute,306,134,171
dark humor,306,74,181
ending,305,162,164
terrorism,305,88,162
hallucinatory,304,65,138
bechdel test:pass,303,201,61
nudity (rear),303,161,94
low budget,302,97,195
visually stunning,302,70,190
will smith,302,22,185
perrot library,301,299,3
clearplay,300,284,14
journalism,296,90,144
intense,296,88,186
bibliothek,295,287,9
netflix finland,295,272,2
short,293,170,80
philip seymour hoffman,293,38,161
cliche,292,138,158
sad,291,140,195
1980s,291,99,122
memasa's movies,288,288,1
oscar (best actor),288,70,122
fantasy world,285,58,159
on dvr,284,284,2
cars,283,88,112
plot twist,283,55,191
torture,282,92,143
special effects,281,120,147
hayao miyazaki,278,15,130
feel-good,277,69,168
mel gibson,277,38,148
fun,276,166,154
bleak,275,126,97
realistic,274,124,172
boxing,272,55,130
russell crowe,271,31,159
cheesy,267,136,173
unrealistic,267,113,152
homosexuality,267,84,134
melancholy,267,75,136
holocaust,267,50,166
will ferrell,266,28,151
cgi,265,100,129
treasure,265,26,71
cynical,264,94,124
epic,264,94,166
cerebral,263,64,124
michael caine,263,44,142
sean connery,263,37,128
film noir,262,75,169
mockumentary,262,48,167
vietnam war,262,40,151
space travel,262,39,149
movie business,261,148,59
intelligent,261,57,176
pirates,261,39,131
teen movie,260,44,102
dreams,259,56,174
philip k. dick,259,12,133
dance,258,85,126
bob*ola,257,257,1
steampunk,256,35,135
gary oldman,255,37,126
storytelling,255,37,132
batman,255,26,153
africa,253,109,108
adam sandler,253,26,143
business,252,128,85
bad science,252,68,140
jude law,252,36,145
kidnapping,250,115,109
insanity,250,71,145
london,249,106,104
car chase,249,65,146
existentialism,249,48,159
enigmatic,248,68,112
denzel washington,246,28,165
shakespeare,245,64,108
made for tv,241,188,48
angelina jolie,241,25,130
star trek,241,20,128
seen at the cinema,240,201,22
poignant,240,113,95
gangsters,240,79,127
spielberg,240,26,61
anthony hopkins,239,33,164
ewan mcgregor,239,31,145
adapted from:comic,238,76,86
crude humor,236,56,129
british comedy,236,43,157
arnold,236,17,53
not funny,234,127,118
romantic,233,79,150
computers,233,36,145
beautifully filmed,232,36,174
irreverent,231,98,67
cannibalism,231,43,148
based on a comic,230,41,136
humor,229,92,151
mentor,229,23,97
plot holes,228,86,147
neo-noir,227,38,99
imagination,227,34,162
claustrophobic,226,74,105
alien invasion,226,43,132
divx,225,223,5
suspenseful,225,39,111
own,224,204,18
no_fa_ganes,223,223,1
male nudity,222,111,82
plot,222,111,136
scary,222,95,127
zooey deschanel,222,25,114
oscar (best actress),221,75,80
vampire,221,55,125
sword fight,220,52,119
owned,219,203,21
visceral,219,95,73
anti-hero,219,59,133
liam neeson,219,37,132
simon pegg,217,18,127
sandra bullock,216,30,124
hugh jackman,216,20,120
kung fu,215,69,118
keira knightley,215,22,127
mathematics,215,22,154
excellent script,214,20,107
dysfunctional family,213,62,112
oscar (best supporting actor),212,66,64
artistic,212,42,172
joseph gordon-levitt,212,20,121
monster,211,89,86
super-hero,211,37,104
ben stiller,211,26,127
dogs,210,86,100
powerful ending,210,18,151
prostitution,209,90,90
science,209,82,111
nicole kidman,208,31,136
dark hero,208,24,87
heath ledger,207,15,165
addiction,206,59,116
genetics,206,18,142
bad plot,204,87,106
romantic comedy,204,76,117
uma thurman,204,31,121
jesus,204,28,76
stranded,204,20,82
slasher,203,88,47
nostalgic,203,86,115
nature,202,84,103
sentimental,202,59,134
sylvester stallone,201,41,70
masterpiece,201,37,82
los angeles,200,95,78
new york,200,73,100
john cusack,200,32,138
owen wilson,200,29,119
jack black,200,27,127
seen,199,197,6
characters,199,147,84
police corruption,199,74,90
claymation,199,29,102
jason statham,199,29,102
dustin hoffman,198,33,130
star wars,198,19,99
wes anderson,198,9,117
monty python,198,7,120
06/11,197,197,2
afi 100,197,103,28
big budget,197,83,79
disability,197,78,84
slow paced,196,100,138
deadpan,196,64,77
india,196,61,114
