tag,user_application_count,tagged_movie_count,user_tag_user_count,genome_tag_id,matched_movie_count,mean_genome_relevance
sci-fi,3576,353,886,887,313.0,0.8639113418530351
sci-fi,3576,353,886,886,313.0,0.7823083067092652
based on a book,3307,1207,604,107,931.0,0.8048074650912997
atmospheric,3169,454,724,86,398.0,0.6474974874371859
comedy,3078,791,853,230,633.0,0.757402448657188
action,3068,538,799,19,462.0,0.8569388528138528
nudity (topless),2646,1392,390,732,747.0,0.4694340696117804
surreal,2528,303,811,995,242.0,0.8592334710743801
twist ending,2367,199,818,1050,169.0,0.6965739644970415
bd-r,2334,2328,5,,,
funny,2253,722,738,417,592.0,0.504461570945946
quirky,2034,356,589,829,312.0,0.7325608974358975
dystopia,2015,140,576,336,123.0,0.807979674796748
classic,1971,412,668,215,367.0,0.7176662125340598
stylized,1944,339,523,982,318.0,0.8125849056603773
dark comedy,1910,189,713,286,161.0,0.6762872670807454
romance,1874,521,663,863,404.0,0.6214938118811881
fantasy,1850,283,629,377,222.0,0.7864740990990992
psychology,1763,176,651,824,151.0,0.7184751655629139
time travel,1572,137,585,1028,113.0,0.7508407079646018
disturbing,1524,285,526,312,254.0,0.6249911417322834
visually appealing,1511,203,569,1091,189.0,0.8533373015873017
aliens,1439,240,413,45,188.0,0.8593484042553192
social commentary,1424,242,509,936,198.0,0.9054280303030303
thought-provoking,1422,148,607,1024,134.0,0.5895111940298507
adventure,1374,237,485,29,203.0,0.8021256157635468
violence,1361,284,543,1084,244.0,0.7826413934426228
criterion,1352,905,71,270,11.0,0.9854772727272727
animation,1345,239,496,64,180.0,0.9393291666666667
drugs,1336,337,510,331,254.0,0.7118395669291339
dark,1312,231,525,285,188.0,0.7634268617021276
true story,1292,324,413,1047,265.0,0.812561320754717
imdb top 250,1272,322,271,536,319.0,0.9527021943573667
black comedy,1224,177,495,141,148.0,0.6350118243243243
drama,1211,477,391,323,339.0,0.810080383480826
space,1208,146,437,942,116.0,0.9320129310344828
clv,1199,1198,2,,,
superhero,1177,136,381,989,104.0,0.9132596153846154
world war ii,1157,247,388,1121,2.0,0.978625
post-apocalyptic,1118,107,438,803,82.0,0.8144664634146341
post-apocalyptic,1118,107,438,802,82.0,0.7330670731707317
horror,1103,281,404,522,211.0,0.86728672985782
betamax,1093,1080,12,,,
cult film,1090,171,422,276,145.0,0.7645241379310345
thriller,1088,289,430,1025,241.0,0.5481172199170125
satire,1081,183,488,877,154.0,0.7218798701298701
predictable,1073,386,443,807,341.0,0.5405234604105572
revenge,1051,283,382,850,205.0,0.6960792682926829
tense,1049,306,322,1020,290.0,0.7770827586206897
boring,1038,598,422,155,506.0,0.19773715415019757
politics,1027,290,376,800,182.0,0.856771978021978
bittersweet,1022,166,399,138,151.0,0.8417135761589404
music,1000,352,502,684,279.0,0.5493700716845878
cinematography,998,305,393,212,252.0,0.769013888888889
adapted from:book,991,595,155,22,479.0,0.8791941544885178
based on a true story,985,213,390,110,183.0,0.7934412568306011
great soundtrack,968,205,430,471,196.0,0.6165739795918368
high school,966,217,300,503,164.0,0.8859009146341462
coming of age,950,241,352,235,181.0,0.8427762430939226
coming of age,950,241,352,236,181.0,0.5451256906077347
serial killer,943,209,344,903,165.0,0.880009090909091
crime,927,295,369,268,233.0,0.7478959227467811
zombies,916,137,365,1128,77.0,0.8018733766233767
comic book,910,137,345,232,123.0,0.7698170731707317
war,909,250,391,1096,183.0,0.7589153005464481
religion,904,338,334,847,212.0,0.6063172169811322
nudity (full frontal),896,403,223,728,232.0,0.5853696120689654
violent,888,158,369,1085,142.0,0.799894366197183
mental illness,872,163,351,645,134.0,0.6601044776119402
anime,870,130,259,65,76.0,0.9069736842105264
dvd-video,858,855,4,,,
dreamlike,848,114,374,325,104.0,0.7705528846153846
friendship,845,230,345,412,193.0,0.7455129533678756
franchise,844,279,143,406,257.0,0.9625038910505836
suspense,842,186,366,999,160.0,0.82534375
alternate reality,836,83,410,52,77.0,0.709275974025974
quentin tarantino,830,15,443,,,
parody,827,165,315,770,136.0,0.7567224264705882
murder,824,448,218,682,376.0,0.6810731382978724
nonlinear,812,61,446,715,56.0,0.6240758928571429
psychological,802,133,362,823,113.0,0.8236327433628318
pixar,802,61,334,785,28.0,0.6972946428571428
history,800,329,295,509,163.0,0.7064769938650307
oscar (best picture),794,88,257,756,3.0,0.9870000000000001
johnny depp,781,48,366,,,
less than 300 ratings,781,720,32,,,
black and white,777,192,305,140,148.0,0.8118682432432432
disney,768,136,250,309,36.0,0.8578194444444445
r,756,527,56,,,
erlend's dvds,746,735,5,,,
remake,733,249,256,849,213.0,0.7616420187793427
martial arts,730,171,287,631,109.0,0.9449495412844037
magic,730,124,308,623,100.0,0.80291
bruce willis,717,55,335,,,
mystery,715,150,316,689,129.0,0.6722848837209302
brad pitt,706,38,365,,,
musical,690,173,336,686,134.0,0.7927462686567164
multiple storylines,688,79,352,679,66.0,0.7298181818181818
british,682,121,303,164,47.0,0.7827127659574469
stupid,660,206,302,978,179.0,0.4158296089385475
witty,658,179,316,1114,173.0,0.6594089595375722
humorous,653,219,270,529,208.0,0.5593533653846154
inspirational,649,106,328,548,92.0,0.7509891304347825
tom hanks,648,39,314,,,
seen more than once,645,335,156,,,
tumey's dvds,645,640,5,,,
family,641,238,269,374,182.0,0.7038653846153846
hilarious,628,191,299,505,171.0,0.6700438596491228
japan,621,180,243,575,21.0,0.8336666666666668
police,612,231,174,795,189.0,0.7226137566137567
slow,610,311,282,929,260.0,0.2968711538461538
robots,607,91,283,861,77.0,0.8261525974025974
overrated,598,255,289,763,234.0,0.2551207264957265
documentary,597,276,287,315,133.0,0.9073289473684211
mindfuck,591,68,327,652,61.0,0.7684303278688526
morgan freeman,583,52,323,,,
new york city,576,220,204,705,13.0,0.7698461538461537
great acting,575,126,271,465,114.0,0.7769078947368421
organized crime,570,86,280,741,72.0,0.8142881944444444
dvd-ram,570,567,4,,,
nudity (topless - notable),565,243,206,731,11.0,0.9492727272727273
biography,565,201,184,134,126.0,0.7648234126984127
sequel,565,217,181,901,194.0,0.7591958762886597
nazis,562,126,206,697,35.0,0.8862857142857142
ensemble cast,560,116,202,354,102.0,0.6790980392156862
vampires,556,117,228,1069,78.0,0.9313878205128205
beautiful,539,159,281,120,138.0,0.573965579710145
espionage,537,107,225,361,99.0,0.8837247474747474
gay,537,183,191,425,112.0,0.685185267857143
future,534,89,248,419,75.0,0.8945866666666666
christianity,528,182,221,209,33.0,0.7607121212121212
england,527,181,190,350,26.0,0.8001826923076922
nudity (topless - brief),527,285,142,730,1.0,0.65625
soundtrack,527,286,262,,,
artificial intelligence,523,42,258,77,37.0,0.6903783783783783
corruption,517,188,192,258,151.0,0.8768327814569536
philosophy,516,55,323,780,49.0,0.5767704081632653
jim carrey,514,27,264,,,
70mm,509,390,29,12,359.0,0.5611455431754875
dvd,507,392,33,,,
historical,502,149,260,508,124.0,0.7432237903225807
edward norton,500,24,303,,,
steven spielberg,496,38,246,,,
dialogue,487,246,196,302,217.0,0.7528997695852535
sexuality,484,157,219,909,138.0,0.5555326086956521
bill murray,482,36,267,,,
sports,480,205,152,959,130.0,0.8463711538461538
christmas,480,132,191,210,22.0,0.7808977272727272
christian bale,480,30,280,,,
emotional,479,115,267,348,105.0,0.7506333333333334
satirical,479,121,211,878,117.0,0.7179358974358974
movie to see,477,404,64,,,
assassin,475,124,177,81,103.0,0.9006310679611651
acting,475,324,177,,,
original,474,103,223,742,89.0,0.9235814606741574
father-son relationship,474,135,206,385,120.0,0.41343125000000003
father-son relationship,474,135,206,384,120.0,0.4121833333333333
fairy tale,471,62,241,371,52.0,0.8850096153846153
leonardo dicaprio,467,24,293,,,
relationships,463,117,205,846,99.0,0.8864772727272727
racism,459,140,233,835,109.0,0.530802752293578
prison,458,120,239,813,84.0,0.8405386904761905
lesbian,456,127,159,599,67.0,0.5913320895522388
tim burton,454,22,218,,,
story,453,277,148,971,232.0,0.8305959051724138
chick flick,453,130,191,201,122.0,0.8237950819672131
road trip,452,109,207,855,84.0,0.8573511904761905
coen brothers,451,20,250,225,6.0,0.9339583333333333
military,451,157,187,651,125.0,0.7611140000000001
clint eastwood,450,60,204,,,
mafia,445,70,252,622,46.0,0.8271413043478261
rape,443,148,190,838,110.0,0.6289318181818182
loneliness,438,77,223,610,64.0,0.9162890625
depressing,432,124,263,296,106.0,0.5943231132075472
bad acting,431,244,213,97,185.0,0.38690675675675673
samuel l. jackson,431,60,241,,,
tom cruise,431,31,233,,,
weird,429,120,211,1104,93.0,0.8394543010752687
silly,429,208,182,919,192.0,0.5220690104166666
robert de niro,429,50,231,,,
matt damon,427,36,231,,,
gore,420,152,196,456,109.0,0.644144495412844
nudity (full frontal - notable),419,149,155,,,
oscar (best cinematography),416,108,153,749,14.0,0.9780892857142858
heist,415,89,199,498,79.0,0.8748639240506328
love,412,199,210,613,168.0,0.7336994047619048
bd-video,412,412,1,,,
stanley kubrick,412,16,235,,,
ghosts,411,107,179,435,74.0,0.8398445945945946
natalie portman,408,28,237,,,
robert downey jr.,404,30,203,,,
whimsical,400,79,191,1108,78.0,0.6084775641025642
harrison ford,399,35,192,,,
philosophical,398,57,279,779,47.0,0.7370744680851063
musicians,395,207,81,687,101.0,0.8997524752475248
small town,395,158,126,931,118.0,0.8848283898305085
suicide,393,132,190,985,99.0,0.5693358585858586
conspiracy,390,89,222,251,81.0,0.8547685185185185
great ending,389,43,193,468,33.0,0.83675
creepy,388,128,173,267,116.0,0.822301724137931
survival,388,96,198,998,73.0,0.7706541095890411
robin williams,386,46,206,,,
studio ghibli,383,23,154,976,2.0,0.9359999999999999
based on a tv show,381,153,98,111,4.0,0.9351875000000001
touching,380,112,237,1035,90.0,0.8015277777777778
gothic,380,91,154,460,82.0,0.6840823170731707
talking animals,379,110,129,1007,98.0,0.8498112244897958
jack nicholson,375,41,213,,,
cyberpunk,373,29,218,280,25.0,0.8548
science fiction,371,102,178,889,91.0,0.9380879120879121
teen,371,114,147,1013,104.0,0.9027524038461539
complicated,371,27,238,242,24.0,0.8312604166666667
oscar (best directing),370,90,120,750,12.0,0.9855208333333333
scarlett johansson,370,28,213,,,
bechdel test:fail,369,261,55,,,
kevin spacey,369,27,251,,,
might like,369,368,3,,,
martin scorsese,368,34,201,,,
arnold schwarzenegger,367,33,178,,,
clever,366,95,230,220,88.0,0.6423522727272727
james bond,365,31,138,573,25.0,0.8508199999999999
heartwarming,365,91,205,497,81.0,0.7476944444444444
al pacino,365,39,207,,,
nicolas cage,361,49,190,,,
to see,361,334,31,,,
campy,360,148,133,177,117.0,0.5594017094017094
stephen king,359,39,192,,,
reviewed,358,357,2,,,
marvel,355,38,150,632,18.0,0.9697222222222222
library,352,340,17,,,
narrated,351,84,161,691,71.0,0.8405915492957747
