genre_pair,genre_a,genre_b,movie_count,rating_count,pair_avg,pair_median,pair_rating_std,single_a_avg,single_b_avg,gain_vs_best_single,gain_vs_single_mean
Crime + Drama,Crime,Drama,1677,1682632,3.7940426070584654,4.0,0.9517360230946743,3.6745276025631113,3.6742955093068264,0.11951500449535413,0.11963105112349659
Drama + Western,Drama,Western,154,171132,3.7836406984082465,4.0,0.9497304021663653,3.6742955093068264,3.5704980246109406,0.1093451891014201,0.16124393144936322
Documentary + War,Documentary,War,80,8162,3.9104998774810094,4.0,0.9140136344539036,3.7397176834178865,3.8095307347384844,0.100969142742525,0.13587566840282417
Crime + Horror,Crime,Horror,159,149668,3.761338429056311,4.0,1.0508718638457968,3.6745276025631113,3.2772238097518307,0.08681082649319993,0.2854627228988402
Fantasy + Musical,Fantasy,Musical,105,254972,3.6323870856407763,4.0,1.005221812572175,3.5059453358738244,3.558090628821412,0.07429645681936448,0.10036910329315818
Fantasy + Romance,Fantasy,Romance,240,483894,3.605593373755409,4.0,1.0099492057190962,3.5059453358738244,3.541802581902903,0.06379079185250625,0.0817194148670457
Crime + Mystery,Crime,Mystery,459,519620,3.731256495131057,4.0,0.9543162894837051,3.6745276025631113,3.663508921312903,0.05672889256794589,0.06223823319305
Drama + War,Drama,War,876,868317,3.8642506135432106,4.0,0.9501638267214483,3.6742955093068264,3.8095307347384844,0.054719878804726285,0.12233749152055529
Adventure + Fantasy,Adventure,Fantasy,508,1075058,3.556655547886719,4.0,1.0786563150387458,3.5018926565473865,3.5059453358738244,0.050710212012894385,0.052736551676113574
Mystery + Romance,Mystery,Romance,150,152517,3.6998137912495,4.0,0.9778443197673842,3.663508921312903,3.541802581902903,0.03630486993659687,0.09715803964159697
Film-Noir + Mystery,Film-Noir,Mystery,64,115242,4.000633449610385,4.0,0.8967073561418838,3.96538126070082,3.663508921312903,0.03525218890956516,0.18618835860352334
Animation + Comedy,Animation,Comedy,366,596598,3.652477044844267,4.0,0.9847434100364789,3.6174939235897994,3.4260113054324886,0.034983121254467786,0.1307244303331232
Adventure + Horror,Adventure,Horror,80,90580,3.5365919629057188,4.0,1.0676504674310567,3.5018926565473865,3.2772238097518307,0.034699306358332294,0.14703372975611018
Action + Western,Action,Western,127,159587,3.6041970837223585,4.0,1.0230405237740636,3.44386376493354,3.5704980246109406,0.033699059111417906,0.09701618895011821
Adventure + Musical,Adventure,Musical,79,222690,3.588501953388118,4.0,1.0074568717894905,3.5018926565473865,3.558090628821412,0.030411324566706366,0.05851031070371926
Adventure + Animation,Adventure,Animation,351,676118,3.6477952073454634,4.0,0.9884042680093685,3.5018926565473865,3.6174939235897994,0.030301283755663988,0.08810191727687045
Action + Animation,Action,Animation,198,110255,3.646233730896558,4.0,0.9767243956590351,3.44386376493354,3.6174939235897994,0.028739807306758625,0.11555488663488855
Animation + Fantasy,Animation,Fantasy,263,474591,3.6452545454928558,4.0,1.0081939627523675,3.6174939235897994,3.5059453358738244,0.027760621903056393,0.0835349157610441
Comedy + War,Comedy,War,117,226544,3.833131753654919,4.0,1.0145989866834422,3.4260113054324886,3.8095307347384844,0.023601018916434846,0.21536073356943275
Children + Musical,Children,Musical,137,455635,3.5779516498952013,4.0,1.0078990734087645,3.4081137685270444,3.558090628821412,0.01986102107378951,0.09484945122097344
Film-Noir + Thriller,Film-Noir,Thriller,120,139925,3.9767446846524925,4.0,0.8854999377852816,3.96538126070082,3.50711121809216,0.011363423951672669,0.24049844525600284
Adventure + Romance,Adventure,Romance,286,369825,3.551806935712837,4.0,1.026728850900806,3.5018926565473865,3.541802581902903,0.010004353809934141,0.029959316487692345
Mystery + Thriller,Mystery,Thriller,784,1117966,3.671861666633869,4.0,0.9945325225191114,3.663508921312903,3.50711121809216,0.008352745320965749,0.0865515969313373
Crime + Thriller,Crime,Thriller,1214,1826020,3.673519731437772,4.0,0.9896346223474153,3.6745276025631113,3.50711121809216,-0.001007871125339399,0.08270032111013625
Comedy + Musical,Comedy,Musical,481,416368,3.5562471179341353,4.0,1.0474692500764524,3.4260113054324886,3.558090628821412,-0.0018435108872765227,0.06419615080718533
Crime + Film-Noir,Crime,Film-Noir,173,149240,3.9610526668453496,4.0,0.8949595654656288,3.6745276025631113,3.96538126070082,-0.004328593855470242,0.14109823521338383
Animation + Drama,Animation,Drama,130,204505,3.668303953448571,4.0,0.9860351495815185,3.6174939235897994,3.6742955093068264,-0.005991555858255282,0.02240923700025821
Drama + Mystery,Drama,Mystery,716,683655,3.665614235250236,4.0,0.9737424246590786,3.6742955093068264,3.663508921312903,-0.008681274056590471,-0.0032879800596288256
Romance + War,Romance,War,182,231932,3.7982792370177467,4.0,1.0193025690068342,3.541802581902903,3.8095307347384844,-0.011251497720737635,0.12261257869705311
Animation + Children,Animation,Children,462,922619,3.6046363666909094,4.0,1.000842738937625,3.6174939235897994,3.4081137685270444,-0.01285755689889001,0.09183252063248748
Adventure + Drama,Adventure,Drama,670,859958,3.6612939236567366,4.0,1.0094405431563498,3.5018926565473865,3.6742955093068264,-0.013001585650089797,0.07319984072963015
Action + Sci-Fi,Action,Sci-Fi,633,1897051,3.426866752659786,3.5,1.0819098577274637,3.44386376493354,3.4367726714455005,-0.016997012273753942,-0.013451465529734197
Romance + Western,Romance,Western,109,54143,3.5477993461758675,4.0,0.9869423362759645,3.541802581902903,3.5704980246109406,-0.022698678435073116,-0.008350957081054045
Fantasy + IMAX,Fantasy,IMAX,50,139432,3.633061277181709,4.0,0.9697326255992297,3.5059453358738244,3.655945983272606,-0.02288470609089721,0.05211561760849337
Comedy + Drama,Comedy,Drama,2499,2047539,3.6513092058319767,4.0,0.9909669187893027,3.4260113054324886,3.6742955093068264,-0.022986303474849645,0.10115579846231926
Drama + Fantasy,Drama,Fantasy,391,485875,3.6505737072292255,4.0,1.0090529717019592,3.6742955093068264,3.5059453358738244,-0.023721802077600884,0.06045328463890032
Mystery + Sci-Fi,Mystery,Sci-Fi,135,254633,3.639673569411663,4.0,0.9911276774283321,3.663508921312903,3.4367726714455005,-0.023835351901240198,0.08953277303246132
Comedy + Thriller,Comedy,Thriller,384,593675,3.4822571272160694,3.5,1.0775231604048479,3.4260113054324886,3.50711121809216,-0.024854090876090584,0.015695865453745128
Animation + Romance,Animation,Romance,69,193608,3.591780814842362,4.0,1.001772256972734,3.6174939235897994,3.541802581902903,-0.025713108747437374,0.01213256209601088
Adventure + Western,Adventure,Western,101,146963,3.5435177561699205,3.5,1.0107424798494524,3.5018926565473865,3.5704980246109406,-0.026980268441020083,0.007322415590757192
Adventure + Sci-Fi,Adventure,Sci-Fi,379,1403003,3.4732441769547178,3.5,1.0610698835557724,3.5018926565473865,3.4367726714455005,-0.028648479592668696,0.003911512958274521
Comedy + Romance,Comedy,Romance,1854,2143404,3.5124194972109786,3.5,1.025808655842616,3.4260113054324886,3.541802581902903,-0.0293830846919243,0.02851255354328286
Animation + Sci-Fi,Animation,Sci-Fi,155,131047,3.587533480354377,4.0,1.045667565350549,3.6174939235897994,3.4367726714455005,-0.029960443235422574,0.0604001828367271
Adventure + Comedy,Adventure,Comedy,594,1381088,3.4662794840010194,3.5,1.0537170866958836,3.5018926565473865,3.4260113054324886,-0.03561317254636709,0.002327503011081866
Adventure + Children,Adventure,Children,445,878272,3.4662456505501713,3.5,1.0558155950465204,3.5018926565473865,3.4081137685270444,-0.03564700599721515,0.01124243801295588
Comedy + Fantasy,Comedy,Fantasy,471,1008206,3.470016048307588,3.5,1.05845163360608,3.4260113054324886,3.5059453358738244,-0.03592928756623648,0.0040377276544316665
Musical + Romance,Musical,Romance,319,278861,3.5197912221501033,3.5,1.0857273874478115,3.558090628821412,3.541802581902903,-0.03829940667130849,-0.0301553832120538
Sci-Fi + Thriller,Sci-Fi,Thriller,456,1220209,3.4684119687692845,3.5,1.0515382871151504,3.4367726714455005,3.50711121809216,-0.038699249322875495,-0.0035299759995459645
Action + IMAX,Action,IMAX,101,271062,3.6171558536423403,4.0,1.0058263428227072,3.44386376493354,3.655945983272606,-0.038790129630265735,0.06725097953926706
Action + Adventure,Action,Adventure,957,2457533,3.4609539322564538,3.5,1.0563000074487343,3.44386376493354,3.5018926565473865,-0.040938724290932704,-0.011924278484009232
Documentary + Musical,Documentary,Musical,97,13248,3.6967089371980677,4.0,1.029565085774567,3.7397176834178865,3.558090628821412,-0.04300874621981876,0.04780478107841857
Drama + Romance,Drama,Romance,2509,2092519,3.6299679955116297,4.0,1.01134878724095,3.6742955093068264,3.541802581902903,-0.044327513795196616,0.02191894990676513
Adventure + IMAX,Adventure,IMAX,89,304898,3.608969229053651,4.0,0.9828518218167253,3.5018926565473865,3.655945983272606,-0.0469767542189552,0.030049909143654574
