genre,share_2000s,share_2010s,share_delta
Documentary,0.12904864727549853,0.17429685896119892,0.045248211685700396
IMAX,0.006858884796138702,0.024635598439745433,0.01777671364360673
Sci-Fi,0.05626825860536009,0.06548963251898994,0.00922137391362985
Animation,0.04712307887717516,0.04803941695750359,0.0009163380803284341
Western,0.006731868411025022,0.006980086224594539,0.00024821781356951667
Film-Noir,0.0020322621618188747,0.0020529665366454527,2.0704374826578057e-05
Action,0.1343833354502731,0.1311845616916444,-0.0031987737586286757
Children,0.04140734154705957,0.03797988092794088,-0.003427460619118694
Horror,0.09983487869935222,0.09443646068569082,-0.0053984180136613935
Adventure,0.07798806045979931,0.07226442208991993,-0.00572363836987938
Musical,0.028324653880350565,0.020324368712789982,-0.008000285167560583
Thriller,0.18379270925949448,0.17429685896119892,-0.009495850298295555
Fantasy,0.058808586307633685,0.04639704372818723,-0.012411542579446454
War,0.03734281722342182,0.022377335249435436,-0.014965481973986387
Mystery,0.06033278292899784,0.04516526380619996,-0.01516751912279788
Crime,0.11317159913628858,0.08581400123177992,-0.02735759790450866
Comedy,0.3175409627841992,0.28228289878874974,-0.03525806399544945
Romance,0.15813539946653118,0.11003900636419627,-0.04809639310233492
Drama,0.5104788517718786,0.4387189488811332,-0.07175990289074535
