genre_a,genre_b,pair_movie_count,pair_rating_count,pair_mean_rating,pair_std_rating,genre_a_movie_count,genre_a_mean_rating,genre_b_movie_count,genre_b_mean_rating,mean_individual_rating,rating_gain,meets_min_support
Drama,Romance,2573,2092583,3.6299679955116297,1.01134878724095,13344,3.6742955093068264,4127,3.541802581902903,3.6080490456048646,0.02191894990676513,True
Comedy,Drama,2546,2047586,3.6513092058319767,0.9909669187893027,8374,3.4260113054324886,13344,3.6742955093068264,3.5501534073696575,0.10115579846231926,True
Comedy,Romance,1895,2143445,3.5124194972109786,1.025808655842616,8374,3.4260113054324886,4127,3.541802581902903,3.4839069436676957,0.02851255354328286,True
Drama,Thriller,1868,1992198,3.593350373361336,0.9924064648435557,13344,3.6742955093068264,4178,3.50711121809216,3.590703363699493,0.0026470096618429473,True
Crime,Drama,1712,1682667,3.7940426070584654,0.9517360230946743,2939,3.6745276025631113,13344,3.6742955093068264,3.674411555934969,0.11963105112349659,True
Crime,Thriller,1232,1826038,3.673519731437772,0.9896346223474153,2939,3.6745276025631113,4178,3.50711121809216,3.5908194103276356,0.08270032111013625,True
Action,Drama,1203,1384037,3.6173220444057166,1.017676848465732,3520,3.44386376493354,13344,3.6742955093068264,3.559079637120183,0.05824240728553365,True
Action,Thriller,1109,2567311,3.4285974147178635,1.0232540476157024,3520,3.44386376493354,4178,3.50711121809216,3.47548749151285,-0.04689007679498669,True
Horror,Thriller,1073,768698,3.234612132329027,1.1202962259182883,2611,3.2772238097518307,4178,3.50711121809216,3.3921675139219953,-0.15755538159296822,True
Action,Adventure,972,2457548,3.4609539322564538,1.0563000074487343,3520,3.44386376493354,2329,3.5018926565473865,3.472878210740463,-0.011924278484009232,True
Drama,War,894,868335,3.8642506135432106,0.9501638267214483,13344,3.6742955093068264,1194,3.8095307347384844,3.7419131220226554,0.12233749152055529,True
Mystery,Thriller,795,1117977,3.671861666633869,0.9945325225191114,1514,3.663508921312903,4178,3.50711121809216,3.5853100697025315,0.0865515969313373,True
Action,Crime,767,1250622,3.478627298271089,1.0132326084527872,3520,3.44386376493354,2939,3.6745276025631113,3.5591956837483254,-0.08056838547723633,True
Drama,Mystery,721,683660,3.665614235250236,0.9737424246590786,13344,3.6742955093068264,1514,3.663508921312903,3.6689022153098647,-0.0032879800596288256,True
Action,Comedy,719,1096032,3.292683371896966,1.0585170800302588,3520,3.44386376493354,8374,3.4260113054324886,3.434937535183014,-0.14225416328604812,True
Comedy,Crime,692,936647,3.5419635631420596,1.0622940084549763,8374,3.4260113054324886,2939,3.6745276025631113,3.5502694539978,-0.008305890855740294,True
Adventure,Drama,690,859978,3.6612939236567366,1.0094405431563498,2329,3.5018926565473865,13344,3.6742955093068264,3.5880940829271064,0.07319984072963015,True
Action,Sci-Fi,641,1897059,3.426866752659786,1.0819098577274637,3520,3.44386376493354,1743,3.4367726714455005,3.44031821818952,-0.013451465529734197,True
Adventure,Comedy,601,1381095,3.4662794840010194,1.0537170866958836,2329,3.5018926565473865,8374,3.4260113054324886,3.4639519809899375,0.002327503011081866,True
Children,Comedy,526,910998,3.378439938967497,1.0987517709031762,1139,3.4081137685270444,8374,3.4260113054324886,3.4170625369797665,-0.03862259801226964,True
Adventure,Fantasy,511,1075061,3.556655547886719,1.0786563150387458,2329,3.5018926565473865,1412,3.5059453358738244,3.503918996210605,0.052736551676113574,True
Comedy,Musical,493,416380,3.5562471179341353,1.0474692500764524,8374,3.4260113054324886,1036,3.558090628821412,3.49205096712695,0.06419615080718533,True
Comedy,Fantasy,476,1008211,3.470016048307588,1.05845163360608,8374,3.4260113054324886,1412,3.5059453358738244,3.4659783206531563,0.0040377276544316665,True
Animation,Children,470,922627,3.6046363666909094,1.000842738937625,1027,3.6174939235897994,1139,3.4081137685270444,3.512803846058422,0.09183252063248748,True
Crime,Mystery,468,519629,3.731256495131057,0.9543162894837051,2939,3.6745276025631113,1514,3.663508921312903,3.669018261938007,0.06223823319305,True
Sci-Fi,Thriller,459,1220212,3.4684119687692845,1.0515382871151504,1743,3.4367726714455005,4178,3.50711121809216,3.4719419447688304,-0.0035299759995459645,True
Horror,Sci-Fi,451,376753,3.272313205043132,1.1245107331758504,2611,3.2772238097518307,1743,3.4367726714455005,3.3569982405986654,-0.08468503555553353,True
Adventure,Children,450,878277,3.4662456505501713,1.0558155950465204,2329,3.5018926565473865,1139,3.4081137685270444,3.4550032125372154,0.01124243801295588,True
Drama,Horror,450,290549,3.4369637270389988,1.0494049344493817,13344,3.6742955093068264,2611,3.2772238097518307,3.4757596595293285,-0.038795932490329754,True
Comedy,Horror,395,271587,3.157546099917521,1.130135614806982,8374,3.4260113054324886,2611,3.2772238097518307,3.3516175575921596,-0.19407145767463874,True
Drama,Fantasy,394,485878,3.6505737072292255,1.0090529717019592,13344,3.6742955093068264,1412,3.5059453358738244,3.590120422590325,0.06045328463890032,True
Horror,Mystery,392,268029,3.3640518608338774,1.0915936279839231,2611,3.2772238097518307,1514,3.663508921312903,3.470366365532367,-0.10631450469848946,True
Comedy,Thriller,390,593681,3.4822571272160694,1.0775231604048479,8374,3.4260113054324886,4178,3.50711121809216,3.4665612617623243,0.015695865453745128,True
Adventure,Sci-Fi,384,1403008,3.4732441769547178,1.0610698835557724,2329,3.5018926565473865,1743,3.4367726714455005,3.4693326639964432,0.003911512958274521,True
Animation,Comedy,369,596601,3.652477044844267,0.9847434100364789,1027,3.6174939235897994,8374,3.4260113054324886,3.521752614511144,0.1307244303331232,True
Drama,Sci-Fi,352,658217,3.6020277630493474,1.0094783973610995,13344,3.6742955093068264,1743,3.4367726714455005,3.555534090376163,0.04649367267318416,True
Adventure,Animation,352,676119,3.6477952073454634,0.9884042680093685,2329,3.5018926565473865,1027,3.6174939235897994,3.559693290068593,0.08810191727687045,True
Drama,Musical,337,261344,3.5482426770237434,1.0567671616646233,13344,3.6742955093068264,1036,3.558090628821412,3.616193069064119,-0.06795039204037545,True
Action,Fantasy,325,513780,3.3582531263685467,1.1227719325016285,3520,3.44386376493354,1412,3.5059453358738244,3.474904550403682,-0.11665142403513551,True
Musical,Romance,324,278866,3.5197912221501033,1.0857273874478115,1036,3.558090628821412,4127,3.541802581902903,3.549946605362157,-0.0301553832120538,True
Comedy,Sci-Fi,316,582047,3.2945876944011108,1.0900629068182452,8374,3.4260113054324886,1743,3.4367726714455005,3.4313919884389943,-0.13680429403788352,True
Children,Fantasy,311,716868,3.4582982848932504,1.063504784458399,1139,3.4081137685270444,1412,3.5059453358738244,3.457029552200434,0.0012687326928162435,True
Adventure,Thriller,304,1021844,3.4035191419400297,1.006335212174271,2329,3.5018926565473865,4178,3.50711121809216,3.504501937319773,-0.10098279537974353,True
Action,War,299,420181,3.6806845686460705,1.0214626906801725,3520,3.44386376493354,1194,3.8095307347384844,3.6266972498360124,0.05398731881005814,True
Adventure,Romance,294,369833,3.551806935712837,1.026728850900806,2329,3.5018926565473865,4127,3.541802581902903,3.5218476192251447,0.029959316487692345,True
Action,Horror,270,310865,3.3457149934215393,1.0987483523144024,3520,3.44386376493354,2611,3.2772238097518307,3.360543787342685,-0.014828793921145778,True
Action,Romance,268,488644,3.446410225975057,1.0435354537329709,3520,3.44386376493354,4127,3.541802581902903,3.492833173418221,-0.04642294744316411,True
Animation,Fantasy,264,474592,3.6452545454928558,1.0081939627523675,1027,3.6174939235897994,1412,3.5059453358738244,3.5617196297318117,0.0835349157610441,True
Romance,Thriller,262,445307,3.4534418137762377,1.0395689576833251,4127,3.541802581902903,4178,3.50711121809216,3.5244568999975314,-0.07101508622129371,True
Fantasy,Romance,247,483901,3.605593373755409,1.0099492057190962,1412,3.5059453358738244,4127,3.541802581902903,3.5238739588883634,0.0817194148670457,True
Crime,Romance,242,151255,3.6072462809917356,0.9755856383769702,2939,3.6745276025631113,4127,3.541802581902903,3.608165092233007,-0.0009188112412714666,True
Drama,Film-Noir,235,79649,3.9000163228406763,0.9122827067625952,13344,3.6742955093068264,330,3.96538126070082,3.8198383850038233,0.08017793783685301,True
Comedy,Mystery,234,142946,3.41104822404276,1.0675906362651173,8374,3.4260113054324886,1514,3.663508921312903,3.544760113372696,-0.13371188932993583,True
Children,Drama,220,330146,3.528695575789518,1.0539028979079106,1139,3.4081137685270444,13344,3.6742955093068264,3.5412046389169354,-0.012509063127417175,True
Action,Animation,198,110255,3.646233730896558,0.9767243956590351,3520,3.44386376493354,1027,3.6174939235897994,3.5306788442616694,0.11555488663488855,True
Romance,War,190,231940,3.7982792370177467,1.0193025690068342,4127,3.541802581902903,1194,3.8095307347384844,3.6756666583206936,0.12261257869705311,True
Fantasy,Sci-Fi,189,174184,3.1863280936032425,1.1357670903079018,1412,3.5059453358738244,1743,3.4367726714455005,3.4713590036596624,-0.2850309100564199,True
Fantasy,Horror,188,167228,3.3255485059230865,1.0550538687747626,1412,3.5059453358738244,2611,3.2772238097518307,3.3915845728128273,-0.06603606688974084,True
Crime,Film-Noir,180,149247,3.9610526668453496,0.8949595654656288,2939,3.6745276025631113,330,3.96538126070082,3.819954431631966,0.14109823521338383,True
Adventure,War,168,140703,3.6895437843369985,0.9804324242704773,2329,3.5018926565473865,1194,3.8095307347384844,3.6557116956429354,0.03383208869406307,True
Drama,Western,162,171140,3.7836406984082465,0.9497304021663653,13344,3.6742955093068264,676,3.5704980246109406,3.6223967669588832,0.16124393144936322,True
Crime,Horror,161,149670,3.761338429056311,1.0508718638457968,2939,3.6745276025631113,2611,3.2772238097518307,3.475875706157471,0.2854627228988402,True
Animation,Sci-Fi,156,131048,3.587533480354377,1.045667565350549,1027,3.6174939235897994,1743,3.4367726714455005,3.5271332975176497,0.0604001828367271,True
Mystery,Romance,154,152521,3.6998137912495,0.9778443197673842,1514,3.663508921312903,4127,3.541802581902903,3.602655751607903,0.09715803964159697,True
Adventure,Crime,147,191816,3.41994682237631,1.0383548586405102,2329,3.5018926565473865,2939,3.6745276025631113,3.588210129555249,-0.16826330717893878,True
Action,Mystery,140,298618,3.5294241749409774,0.9827194013782328,3520,3.44386376493354,1514,3.663508921312903,3.5536863431232213,-0.024262168182243915,True
Children,Musical,138,455636,3.5779516498952013,1.0078990734087645,1139,3.4081137685270444,1036,3.558090628821412,3.483102198674228,0.09484945122097344,True
