genre,movie_count_before,rating_count_before,mean_rating_before,movie_count_after,rating_count_after,mean_rating_after,rank_before,rank_after
Film-Noir,330,216689,3.96538126070082,36,192295,4.00100106607036,1,1.0
War,1194,1048618,3.8095307347384844,149,953184,3.8435296857689596,2,2.0
Documentary,2471,244619,3.7397176834178865,53,133567,3.829767083186715,3,3.0
Crime,2939,3298335,3.6745276025631113,450,3036044,3.7109994123932326,4,5.0
Drama,13344,8857853,3.6742955093068264,1493,7775787,3.7115834705863215,5,4.0
Mystery,1514,1557282,3.663508921312903,243,1438907,3.697093696812928,6,6.0
IMAX,196,492366,3.655945983272606,75,457232,3.693437904608601,7,7.0
Animation,1027,1140476,3.6174939235897994,169,1055121,3.646131581117237,8,8.0
Western,676,423714,3.5704980246109406,65,381620,3.60090273046486,9,9.0
Musical,1036,870915,3.558090628821412,133,785924,3.588766216580738,10,10.0
Romance,4127,3802002,3.541802581902903,596,3416923,3.568543686819984,11,11.0
Thriller,4178,5313506,3.50711121809216,780,4909990,3.5365635164226403,12,12.0
Fantasy,1412,2111403,3.5059453358738244,299,1974720,3.5292223707664885,13,13.0
Adventure,2329,4380351,3.5018926565473865,536,4152236,3.524925124679811,14,14.0
Action,3520,5614208,3.44386376493354,726,5279936,3.4692993437799244,15,15.0
Sci-Fi,1743,3150141,3.4367726714455005,404,2982716,3.458603836235163,16,17.0
Comedy,8374,7502234,3.4260113054324886,1192,6683720,3.4650533684834195,17,16.0
Children,1139,1669249,3.4081137685270444,262,1537493,3.449856682274326,18,18.0
Horror,2611,1482737,3.2772238097518307,285,1267282,3.3506800380657187,19,19.0
