rating_year,rating_count,avg_rating
1995,4,3.75
1996,1612609,3.545408093344388
1997,700982,3.588521531223341
1998,308070,3.5124841756743597
1999,1198384,3.616336666711171
2000,1953659,3.5761194763262165
2001,1186125,3.5337708926124987
2002,869719,3.4826535927121287
2003,1035878,3.474775021768973
2004,1170049,3.429614058898388
2005,1803158,3.4340010692351974
2006,1171836,3.463172321041511
2007,1053430,3.471740884539077
2008,1158777,3.539018724051306
2009,930036,3.508643751424676
2010,903691,3.5334079901205167
2011,766366,3.562192216251765
2012,731389,3.6098273285488296
2013,599327,3.6447665464762977
2014,562888,3.607711480791916
2015,283886,3.4998185891519835

