release_year,rating_count,avg_rating,median_rating
1920,1730,3.809826589595376,4.0
1921,1261,3.8390166534496433,4.0
1922,4306,3.85671156525778,4.0
1924,1382,3.83465991316932,4.0
1925,5905,3.830397967823878,4.0
1926,3113,3.9669129457115324,4.0
1927,7180,3.899025069637883,4.0
1928,3360,3.668452380952381,4.0
1929,2067,3.7065795839380744,4.0
1930,5339,3.84941000187301,4.0
1931,17155,3.9672107257359372,4.0
1932,7827,3.638367190494442,4.0
1933,16505,3.7366252650711904,4.0
1934,12560,3.985748407643312,4.0
1935,13277,3.889470512917075,4.0
1936,10080,3.8838789682539683,4.0
1937,26793,3.6742246109058336,4.0
1938,16441,3.9040204367130955,4.0
1939,56122,3.8879940130430133,4.0
1940,55485,3.8246643236910876,4.0
1941,49986,3.955087424478854,4.0
1942,43349,3.993148630879605,4.0
1943,7904,3.661943319838057,4.0
1944,25096,3.9608901817022635,4.0
1945,12504,3.725767754318618,4.0
1946,35770,4.019541515236232,4.0
1947,14167,3.7252417590174347,4.0
1948,21616,3.9219790895632864,4.0
1949,17665,3.8996320407585623,4.0
1950,38344,3.869014708950553,4.0
1951,46325,3.912153264975715,4.0
1952,24796,3.935291982577835,4.0
1953,39457,3.7233190561877487,4.0
1954,64891,3.990345348353393,4.0
1955,46282,3.755488094723651,4.0
1956,33494,3.728876813757688,4.0
1957,55155,4.000398875895204,4.0
1958,46163,3.819541624244525,4.0
1959,65880,3.8329918032786887,4.0
1960,63660,3.8229736098020735,4.0
1961,55454,3.711319291665164,4.0
1962,71501,3.9508468413029187,4.0
1963,66694,3.7318349476714547,4.0
1964,87195,3.8931532771374506,4.0
1965,49122,3.7068523268596554,4.0
1966,42910,3.8418666977394547,4.0
1967,82044,3.8431146701769783,4.0
1968,102365,3.7401406730816196,4.0
1969,52460,3.772722073961113,4.0
1970,56728,3.6942691439853337,4.0
1971,126032,3.760775041259363,4.0
1972,88152,3.9533873309737726,4.0
1973,108497,3.7603159534365007,4.0
1974,101840,3.8937205420267085,4.0
1975,145945,3.8814930281955533,4.0
1976,96517,3.725530217474642,4.0
1977,126532,3.839989093668005,4.0
1978,114130,3.4570577411723473,3.5
1979,179622,3.726238990769505,4.0
1980,216220,3.697120987882712,4.0
1981,197820,3.691714690122333,4.0
1982,250902,3.589251978860272,4.0
1983,195066,3.657662022084833,4.0
1984,335956,3.56240102870614,4.0
1985,284998,3.491468361181482,3.5
1986,356061,3.479174916657539,3.5
1987,351191,3.5202809866995453,4.0
1988,355039,3.4860620945867917,3.5
1989,462254,3.4835761291411216,3.5
1990,463903,3.4097074172833546,3.5
1991,399309,3.577587782894951,4.0
1992,476325,3.4393050963102922,3.5
1993,932617,3.5003929801837197,3.5
1994,1292006,3.4864590412118828,3.5
1995,1508030,3.4472553596413866,3.5
1996,1134188,3.3517617890508453,3.0
1997,870100,3.376944604068498,3.5
1998,831251,3.4294791825814346,3.5
1999,1027491,3.478413922847013,3.5
2000,829006,3.4128631155866183,3.5
2001,706210,3.479305730590051,3.5
2002,634080,3.470154396921524,3.5
2003,526844,3.4851958074876053,3.5
2004,546679,3.5378503655710207,3.5
2005,360002,3.475770967939067,3.5
2006,359334,3.5672243650753894,3.5
2007,321275,3.5431250486343475,3.5
2008,272111,3.553340364777609,3.5
2009,224934,3.554884988485511,3.5
2010,172997,3.60071850956953,4.0
2011,121609,3.5195256929996956,3.5
2012,96149,3.5887060707859675,3.5
2013,68542,3.490961746082694,3.5
2014,41353,3.5244843179454937,3.5

